WKT,id,nom_ets,adresse,commune,lib_regime,url_fiche,lib_seveso
"POINT (6.11258596922308 47.2093238171605)","10161",ISDI ILLEGALE,Parcelles ZE 102 et 107,SAONE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302050,
"POINT (5.95126255122234 47.2177809906085)","10162",KFC,8 rue René Char,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302299,
"POINT (5.98995917777231 47.2735456989513)","10163",GRAND FRAIS,RUE DES SOURCES,VALENTIN,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302987,
"POINT (5.95436015841124 47.491235725458)","10164",MISCHLER SOPRECA AUTOMATISMES,1 rue de Verdun,FRETIGNEY ET VELLOREILLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903669,
"POINT (6.34777567349904 47.480146578744)","10165",ERDF (ROUGEMONT),STATION DE POMPAGE - MONTFERNEY,ROUGEMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904196,
"POINT (6.13548744778247 47.463553719252)","10166",SCIERIE VERDANT,6 Le Vieux Chemin,RUHANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901260,
"POINT (5.97318405913696 47.2863822045814)","10167",EQIOM BETONS,Lieu dit Planches du Mont,MISEREY SALINES,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903629,
"POINT (6.34777567349904 47.480146578744)","10168",ERDF (MONTFERNEY) Moulin,,ROUGEMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904201,
"POINT (6.02495790054985 47.2375923242937)","10169",GALERIES LAFAYETTE,44 rue des Granges,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902869,
"POINT (6.02654379310301 47.2446141518926)","10170",Centre Européen de Service Horloger,"10, rue des Villas",BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900141,
"POINT (6.06745413516032 47.4345122788507)","10171",DISTRIBUTION CASINO FRANCE,ZA de la Charrière,RIOZ,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904377,
"POINT (6.34777567349904 47.480146578744)","10172",ERDF(MONTFERNEY) Etang,,ROUGEMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904197,
"POINT (6.34777567349904 47.480146578744)","10173",ERDF (MONTAGNEY-SERVIGNEY),Poste VILLAGE - Route de Montagney,MONTAGNEY SERVIGNEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904203,
